genus_name	sp_epithet	subsp_epithet	reference	status	authors	address	risk_grp	nomenclatural_type	record_no	record_lnk
Acetobacter	aceti	liquefaciens	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Asai 1935) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-aceti-liquefaciens	1	ATCC 14835; CCUG 18124; CIP 103109; DSM 5603; IAM 1834; IF0 12388; IFO 12388; LMG 1381; LMG 1382; NBRC 12388; NCCB 76052	772486	776542
Acetobacter	aceti	orleanensis	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Henneberg 1906) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-aceti-orleanensis	1	ATCC 12876; CCUG 18126; DSM 4492; DSM 46223; IFO 13752; JCM 7639; LMG 1583; NBRC 13752; NCCB 31003; NCIB 8622; NCIMB 8622	772487	772509
Acetobacter	aceti	xylinum	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; inaccurate spelling; misspelling	(Brown 1886) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-aceti-xylinum		ATCC 23767; BCRC 12952; CCM 3611; CCRC 12952; CCUG 37299; CIP 103107; CIP 57.14; DSM 6513; IFO 15237; JCM 7644; LMG 1515; NBRC 15237; NCIB 11301; NCIB 11664; NCIB 4112; NCIMB 11301; NCIMB 11664; NCIMB 4112; NCTC 41124	783235	772488
Acetobacter	aceti	xylinus	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Brown 1886) De Ley and Frateur 1974 (Approved Lists 1980) emend. Judicial Commission 1985	https://lpsn.dsmz.de/subspecies/acetobacter-aceti-xylinus	1	ATCC 23767; BCRC 12952; CCM 3611; CCRC 12952; CCUG 37299; CIP 103107; CIP 57.14; DSM 6513; IFO 15237; JCM 7644; LMG 1515; NBRC 15237; NCIB 11301; NCIB 11664; NCIB 4112; NCIMB 11301; NCIMB 11664; NCIMB 4112; NCTC 41124	772488	789888
Acetobacter	aceti		Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; correct name	(Pasteur 1864) Beijerinck 1898 (Approved Lists 1980) emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-aceti	1	ATCC 15973; CCUG 18122; CIP 103111; DSM 3508; ICMP 8807; IFO 14818; JCM 7641; LMG 1261; LMG 1504; NBIMCC 8850; NBRC 14818; NCCB 23001; NCIB 8621; NCIMB 8621	772484	
Acetobacter	ascendens		Oren A, Garrity GM. Validation list no. 193. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2020; 70:2960-2966.	VL; comb. nov.; validly published under the ICNP; synonym	(Henneberg 1898) Kim et al. 2020	https://lpsn.dsmz.de/species/acetobacter-ascendens		LMD 51.1; LMG 1590; NCCB 51001	7864	772511
Acetobacter	ascendens		Oren A, Garrity GM. Validation list no. 194. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2020; 70:4043-4049.	VL; comb. nov.; validly published under the ICNP, illegitimate name; synonym	(Henneberg 1898) Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-ascendens-1		LMD 51.1; LMG 1590; NCCB 51001	11011	772511
Acetobacter	cerevisiae		Cleenwerck I, Vandemeulebroecke K, Janssens D, Swings J. Re-examination of the genus Acetobacter, with descriptions of Acetobacter cerevisiae sp. nov. and Acetobacter malorum sp. nov. Int J Syst Evol Microbiol 2002; 52:1551-1558.	VP; sp. nov.; validly published under the ICNP; correct name	Cleenwerck et al. 2002 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-cerevisiae	1	ATCC 23765; DSM 14362; LMG 1625; NCIB 8894; NCIMB 8894	772492	
Acetobacter	cibinongensis		Anonymous. Validation list no. 84. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2002; 52:3-4.	VL; sp. nov.; validly published under the ICNP; correct name	Lisdiyanti et al. 2002	https://lpsn.dsmz.de/species/acetobacter-cibinongensis	1	4H-1; CIP 107380; DSM 15549; IFO 16605; JCM 11196; NBRC 16605; NRIC 482	772493	
Acetobacter	conturbans		Sombolestani AS, Cleenwerck I, Cnockaert M, Borremans W, Wieme AD, De Vuyst L, Vandamme P. Novel acetic acid bacteria from cider fermentations: Acetobacter conturbans sp. nov. and Acetobacter fallax sp. nov. Int J Syst Evol Microbiol 2020; 70:6163-6171.	VP; sp. nov.; validly published under the ICNP; correct name	Sombolestani et al. 2020	https://lpsn.dsmz.de/species/acetobacter-conturbans		LMG 1627; NCIMB 8945	14543	
Acetobacter	diazotrophicus		Gillis M, Kersters K, Hoste B, Janssens D, Kroppenstedt RM, Stephan MP, Teixeira KRS, Döbereiner J, De Ley J. Acetobacter diazotrophicus sp. nov., a nitrogen-fixing acetic acid bacterium associated with sugarcane. Int. J. Syst. Bacteriol. 1989; 39:361-364.	VP; sp. nov.; validly published under the ICNP; synonym	Gillis et al. 1989	https://lpsn.dsmz.de/species/acetobacter-diazotrophicus	1	ATCC 49037; CCUG 37298; CIP 103539; Döbereiner PA1 5; DSM 5601; LMG 7603; NCCB 89154; PAl 5	772494	776536
Acetobacter	estunensis		Anonymous. Validation list no. 79. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2001; 51:263-265.	VL; comb. nov.; validly published under the ICNP; correct name	(Carr 1958) Lisdiyanti et al. 2001	https://lpsn.dsmz.de/species/acetobacter-estunensis	1	ATCC 23753; DSM 4493; IFO 13751; JCM 21172; LMG 1626; NBRC 13751; NCIB 8935; NCIMB 8935	772495	
Acetobacter	europaeus		Anonymous. Validation list no. 43. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1992; 42:656-657.	VL; sp. nov.; validly published under the ICNP; synonym	Sievers et al. 1992	https://lpsn.dsmz.de/species/acetobacter-europaeus	1	ATCC 51845; DES 11; DSM 6160; LMG 18890	772496	789887
Acetobacter	fabarum		Cleenwerck I, Gonzalez A, Camu N, Engelbeen K, De Vos P, De Vuyst L. Acetobacter fabarum sp. nov., an acetic acid bacterium from a Ghanaian cocoa bean heap fermentation. Int J Syst Evol Microbiol 2008; 58:2180-2185.	VP; sp. nov.; validly published under the ICNP; correct name	Cleenwerck et al. 2008	https://lpsn.dsmz.de/species/acetobacter-fabarum	1	985; DSM 19596; LMG 24244; R-36330	786649	
Acetobacter	fallax		Sombolestani AS, Cleenwerck I, Cnockaert M, Borremans W, Wieme AD, De Vuyst L, Vandamme P. Novel acetic acid bacteria from cider fermentations: Acetobacter conturbans sp. nov. and Acetobacter fallax sp. nov. Int J Syst Evol Microbiol 2020; 70:6163-6171.	VP; sp. nov.; validly published under the ICNP; correct name	Sombolestani et al. 2020	https://lpsn.dsmz.de/species/acetobacter-fallax		LMG 1636; NCIMB 8956	14544	
Acetobacter	farinalis		Euzeby JP. Validation list no. 142. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2011; 61:2563-2565.	VL; sp. nov.; validly published under the ICNP; correct name	Tanasupawat et al. 2011	https://lpsn.dsmz.de/species/acetobacter-farinalis	1	BCC 44845; G360-1; NBRC 107750; PCU 319	789468	
Acetobacter	garciniae		Yukphan P, Charoenyingcharoen P, Kingcha Y, Likhitrattanapisal S, Muangham S, Tanasupawat S, Yamada Y. Acetobacter garciniae sp. nov., an acetic acid bacterium isolated from fermented mangosteen peel in Thailand. Int J Syst Evol Microbiol 2021; 71:5052.	VP; sp. nov.; validly published under the ICNP; correct name	Yukphan et al. 2021	https://lpsn.dsmz.de/species/acetobacter-garciniae		LMG 32243; MS16-SU-2; TBRC 12339	19470	
Acetobacter	ghanensis		Cleenwerck I, Camu N, Engelbeen K, De Winter T, Vandemeulebroecke K, De Vos P, De Vuyst L. Acetobacter ghanensis sp. nov., a novel acetic acid bacterium isolated from traditional heap fermentations of Ghanaian cocoa beans. Int J Syst Evol Microbiol 2007; 57:1647-1652.	VP; sp. nov.; validly published under the ICNP; correct name	Cleenwerck et al. 2007	https://lpsn.dsmz.de/species/acetobacter-ghanensis	1	430A; DSM 18895; LMG 23848; R-29337	785827	
Acetobacter	hansenii		Anonymous. Validation list no. 12. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1983; 33:896-897.	VL; sp. nov.; validly published under the ICNP; synonym	Gosselé et al. 1983	https://lpsn.dsmz.de/species/acetobacter-hansenii	1	ATCC 35959; BCC 6318; CCUG 18123; CIP 103110; DSM 5602; IFO 14820; JCM 7643; LMG 1527; NBRC 14820; NCIB 8745; NCIB 8746; NCIMB 8745; NCIMB 8746	772497	789891
Acetobacter	indonesiensis		Anonymous. Validation list no. 79. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2001; 51:263-265.	VL; sp. nov.; validly published under the ICNP; correct name	Lisdiyanti et al. 2001	https://lpsn.dsmz.de/species/acetobacter-indonesiensis	1	5H-1; DSM 15552; IFO 16471; JCM 10948; LMG 19824; NBRC 16471; NRIC 313	772498	
Acetobacter	intermedius		Anonymous. Validation list no. 67. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1998; 48:1083-1084.	VL; sp. nov.; validly published under the ICNP; synonym	Boesch et al. 1998	https://lpsn.dsmz.de/species/acetobacter-intermedius	1	BCC 36447; CIP 105780; DSM 11804; JCM 16936; LMG 18909; TF2	772499	789890
Acetobacter	lambici		Spitaels F, Li L, Wieme A, Balzarini T, Cleenwerck I, Van Landschoot A, De Vuyst L, Vandamme P. Acetobacter lambici sp. nov., isolated from fermenting lambic beer. Int J Syst Evol Microbiol 2014; 64:1083-1089.	VP; sp. nov.; validly published under the ICNP; correct name	Spitaels et al. 2014	https://lpsn.dsmz.de/species/acetobacter-lambici	1	DSM 27328; LMG 27439	791710	
Acetobacter	liquefaciens		Anonymous. Validation list no. 12. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1983; 33:896-897.	VL; comb. nov.; validly published under the ICNP; synonym	(Asai 1935) Gosselé et al. 1983	https://lpsn.dsmz.de/species/acetobacter-liquefaciens	1	ATCC 14835; CCUG 18124; CIP 103109; DSM 5603; IAM 1834; IF0 12388; IFO 12388; LMG 1381; LMG 1382; NBRC 12388; NCCB 76052	7153	776542
Acetobacter	liquefaciens		Anonymous. Validation list no. 14. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1984; 34:270-271.	VL; comb. nov.; validly published under the ICNP, illegitimate name; synonym	(Asai 1935) Yamada and Tahara 1984	https://lpsn.dsmz.de/species/acetobacter-liquefaciens-1	1	ATCC 14835; CCUG 18124; CIP 103109; DSM 5603; IAM 1834; IF0 12388; IFO 12388; LMG 1381; LMG 1382; NBRC 12388; NCCB 76052	7636	776542
Acetobacter	lovaniensis		Anonymous. Validation list no. 79. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2001; 51:263-265.	VL; comb. nov.; validly published under the ICNP; correct name	(Frateur 1950) Lisdiyanti et al. 2001	https://lpsn.dsmz.de/species/acetobacter-lovaniensis	1	ATCC 12875; DSM 4491; DSM 46218; IFO 13753; LMG 1579; LMG 1617; NBRC 13753; NCIB 8620; NCIMB 8620	772502	
Acetobacter	malorum		Cleenwerck I, Vandemeulebroecke K, Janssens D, Swings J. Re-examination of the genus Acetobacter, with descriptions of Acetobacter cerevisiae sp. nov. and Acetobacter malorum sp. nov. Int J Syst Evol Microbiol 2002; 52:1551-1558.	VP; sp. nov.; validly published under the ICNP; correct name	Cleenwerck et al. 2002	https://lpsn.dsmz.de/species/acetobacter-malorum	1	DSM 14337; LMG 1746	772503	
Acetobacter	methanolicus		Uhlig H, Karbaum K, Steudel A. Acetobacter methanolicus sp. nov., an acidophilic facultatively methylotrophic bacterium. Int. J. Syst. Bacteriol. 1986; 36:317-322.	VP; sp. nov.; validly published under the ICNP; synonym	Uhlig et al. 1986	https://lpsn.dsmz.de/species/acetobacter-methanolicus	1	ATCC 43581; CCUG 37300; CIP 103167; DSM 5432; IMET 10945; JCM 6891; LMG 1668; MB58; NCCB 89007; NRIC 498; TK 0705; VKM B-2104	772506	772593
Acetobacter	musti		Ferrer S, Manes-Lazaro R, Benavent-Gil Y, Yepez A, Pardo I. Acetobacter musti sp. nov., isolated from Bobal grape must. Int J Syst Evol Microbiol 2016; 66:957-961.	VP; sp. nov.; validly published under the ICNP; correct name	Ferrer et al. 2016	https://lpsn.dsmz.de/species/acetobacter-musti	1	Bo7; CECT 7722; DSM 23824	793848	
Acetobacter	nitrogenifigens		Dutta D, Gachhui R. Novel nitrogen-fixing Acetobacter nitrogenifigens sp. nov., isolated from Kombucha tea. Int J Syst Evol Microbiol 2006; 56:1899-1903.	VP; sp. nov.; validly published under the ICNP; correct name	Dutta and Gachhui 2006 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-nitrogenifigens	1	DSM 23921; LMG 23498; MTCC 6912; RG1	785323	
Acetobacter	oboediens		Sokollek SJ, Hertel C, Hammes WP. Description of Acetobacter oboediens sp. nov. and Acetobacter pomorum sp. nov., two new species isolated from industrial vinegar fermentations. Int J Syst Bacteriol 1998; 48:935-940.	VP; sp. nov.; validly published under the ICNP; synonym	Sokollek et al. 1998	https://lpsn.dsmz.de/species/acetobacter-oboediens	1	BCC 36445; CIP 105763; DSM 11826; JCM 16937; LMG 18849; LTH 2460	772507	789894
Acetobacter	oeni		Silva LR, Cleenwerck I, Rivas R, Swings J, Trujillo ME, Willems A, Velazquez E. Acetobacter oeni sp. nov., isolated from spoiled red wine. Int J Syst Evol Microbiol 2006; 56:21-24.	VP; sp. nov.; validly published under the ICNP; correct name	Silva et al. 2006	https://lpsn.dsmz.de/species/acetobacter-oeni	1	B 13; CECT 5830; DSM 23926; LMG 21952	783238	
Acetobacter	okinawensis		Euzeby JP. Validation list no. 149. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2013; 63:1-5.	VL; sp. nov.; validly published under the ICNP; correct name	Iino et al. 2013 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-okinawensis	1	1-35; JCM 25146; LMG 26457	790310	
Acetobacter	orientalis		Anonymous. Validation list no. 84. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2002; 52:3-4.	VL; sp. nov.; validly published under the ICNP; correct name	Lisdiyanti et al. 2002	https://lpsn.dsmz.de/species/acetobacter-orientalis	1	21F-2; CIP 107379; DSM 15550; IFO 16606; JCM 11195; NBRC 16606; NRIC 481	772508	
Acetobacter	orleanensis		Anonymous. Validation list no. 79. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2001; 51:263-265.	VL; comb. nov.; validly published under the ICNP; correct name	(Henneberg 1906) Lisdiyanti et al. 2001 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-orleanensis	1	ATCC 12876; CCUG 18126; DSM 4492; DSM 46223; IFO 13752; JCM 7639; LMG 1583; NBRC 13752; NCCB 31003; NCIB 8622; NCIMB 8622	772509	
Acetobacter	oryzifermentans		Oren A, Garrity GM. Validation list no. 187. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2019; 69:1247-1250.	VL; sp. nov.; validly published under the ICNP; correct name	Kim et al. 2019	https://lpsn.dsmz.de/species/acetobacter-oryzifermentans		JCM 31096; KACC 19301; SLV-7	800723	
Acetobacter	oryzoeni		Baek JH, Kim KH, Moon JY, Yeo SH, Jeon CO. Acetobacter oryzoeni sp. nov., isolated from Korean rice wine vinegar. Int J Syst Evol Microbiol 2020; 70:2026-2033.	VP; sp. nov.; validly published under the ICNP; correct name	Baek et al. 2020	https://lpsn.dsmz.de/species/acetobacter-oryzoeni		B 6; JCM 33371; KACC 21201	5839	
Acetobacter	papayae		Euzeby JP. Validation list no. 149. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2013; 63:1-5.	VL; sp. nov.; validly published under the ICNP; correct name	Iino et al. 2013 emend. Hördt et al. 2020	https://lpsn.dsmz.de/species/acetobacter-papayae	1	1-25; JCM 25143; LMG 26456	790356	
Acetobacter	pasteurianus	ascendens	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Henneberg 1898) De Ley and Frateur 1974 (Approved Lists 1980) emend. Hördt et al. 2020	https://lpsn.dsmz.de/subspecies/acetobacter-pasteurianus-ascendens	1	LMD 51.1; LMG 1590; NCCB 51001	783239	772511
Acetobacter	pasteurianus	estunensis	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Carr 1958) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-pasteurianus-estunensis	1	ATCC 23753; DSM 4493; IFO 13751; JCM 21172; LMG 1626; NBRC 13751; NCIB 8935; NCIMB 8935	772512	772495
Acetobacter	pasteurianus	lovaniensis	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Frateur 1950) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-pasteurianus-lovaniensis	1	ATCC 12875; DSM 4491; DSM 46218; IFO 13753; LMG 1579; LMG 1617; NBRC 13753; NCIB 8620; NCIMB 8620	772513	772502
Acetobacter	pasteurianus	paradoxus	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; comb. nov.; validly published under the ICNP; synonym	(Frateur 1950) De Ley and Frateur 1974 (Approved Lists 1980) emend. Hördt et al. 2020	https://lpsn.dsmz.de/subspecies/acetobacter-pasteurianus-paradoxus	1	LMD 53.6; LMG 1591; NCCB 53006	783240	772511
Acetobacter	pasteurianus	pasteurianus	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; subsp. nov.; validly published under the ICNP; synonym of its species	(Hansen 1879) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-pasteurianus-pasteurianus	1	ATCC 33445; CCUG 18125; CIP 103108; DSM 3509; JCM 7640; LMD 22.1; LMG 1262; NCCB 22001	772514	772511
